UID	DLCL-0001	DLCL-0002	DLCL-0003	DLCL-0004	DLCL-0005	DLCL-0006	DLCL-0007	DLCL-0008	DLCL-0009	DLCL-0010	DLCL-0011	DLCL-0012	DLCL-0013	DLCL-0014	DLCL-0015	DLCL-0016	DLCL-0017	DLCL-0018	DLCL-0020	DLCL-0021	DLCL-0023	DLCL-0024	DLCL-0025	DLCL-0026	DLCL-0027	DLCL-0028	DLCL-0029	DLCL-0030	DLCL-0031	DLCL-0032	DLCL-0033	DLCL-0034	DLCL-0036	DLCL-0037	DLCL-0039	DLCL-0040	DLCL-0041	DLCL-0042	DLCL-0048	DLCL-0049
10339	-0.334	-0.539	-0.009	0.107	-0.358	-0.402	-0.771	0.132	0.277	-0.833	-0.357	-0.339	0.162	-0.633	0.087	-0.496	NA	0.162	-0.413	0.676	-0.141	-0.092	-0.189	0.446	-0.122	NA	-0.312	-0.322	-0.122	-0.068	-0.983	-0.552	NA	NA	NA	NA	NA	-1.298	-1.332	0
10340	-0.521	-0.253	-1.105	NA	0.226	0.257	0.074	-0.372	-0.03	-0.348	-0.283	-0.667	-0.187	-0.174	-0.798	-0.537	NA	-1.186	-1.027	-0.381	-0.699	-0.611	-0.548	-0.753	-0.392	NA	-0.556	-0.313	-0.235	-0.466	-0.903	-0.547	NA	NA	NA	NA	NA	-0.496	-0.598	0.318
10341	-1.986	-1.647	-1.686	-1.601	-2.267	-1.36	-1.504	-1.677	-1.547	-1.955	-1.226	-2.314	-2.763	-2.255	-3.423	-1.662	NA	-2.032	-1.546	-1.507	-0.522	-1.419	-2.058	-2.223	-0.539	NA	-1.493	-1.259	-1.57	-0.854	-1.541	-1.52	NA	NA	NA	NA	NA	-1.462	-2.064	-2.138
10342	-0.319	-0.152	0.471	NA	-0.016	0.251	0.685	0.086	0.483	0.694	-0.489	0.862	-0.036	0.02	-0.566	0.001	NA	-0.237	-0.007	-0.047	-0.19	0.492	0.611	0.217	0.023	NA	0.063	0.301	0.627	-0.185	0.168	-0.024	NA	NA	NA	NA	NA	0.766	0.215	0.245
10343	-0.086	0.518	0.864	0.107	0.192	0.494	0.199	0.211	-0.299	0.619	-0.051	0.965	0.235	0.103	0	0.258	NA	0.179	0.194	0.5	0.154	0.388	0.533	0.411	0.531	NA	-0.144	0.089	0.542	0.185	0.079	0.358	NA	NA	NA	NA	NA	0.151	0.181	0.387
10344	-0.212	0.33	-0.454	-0.461	0.193	-0.304	-0.7	-0.034	0.591	-0.635	-0.017	0.4	-0.294	-0.391	0.204	-0.103	NA	0.045	-0.321	-0.066	0.303	0.445	0.565	-0.011	0.435	NA	0.038	-0.317	0.115	0.39	-0.069	-0.193	NA	NA	NA	NA	NA	-0.779	0.107	0.149
10345	-0.354	-1.101	-0.024	0.013	-1.931	-0.665	-0.354	0.7	-0.501	-1.601	-0.764	-0.585	-1.49	-0.927	0.091	-1.363	NA	-0.051	-0.464	-3.151	-0.869	0.649	-0.927	-0.323	-0.255	NA	0.847	0.585	-0.749	-0.588	-0.124	-0.221	NA	NA	NA	NA	NA	-0.109	-0.512	-0.294
10346	0.666	1.398	0.219	0.297	0.658	1.41	0.347	-0.042	0.723	-0.199	1.65	0.991	1.493	0.184	1.101	0.943	NA	0.045	1.262	-0.24	0.188	0.222	-0.148	1.454	0.559	NA	0.156	0.737	-0.096	0.916	0.715	2.236	NA	NA	NA	NA	NA	-1.091	-0.49	-0.29
10347	-1.259	-0.654	-1.044	-0.947	-0.773	-1.01	-1.333	-0.837	-0.408	-1.221	-0.782	-0.518	-0.842	-0.929	-1.127	-0.833	NA	-0.642	-1.201	-1.03	-0.874	-0.81	-0.945	-0.672	-0.895	NA	0.259	-1.085	-0.016	-0.637	-1.038	-0.713	NA	NA	NA	NA	NA	1.691	-0.628	-0.75
10348	-0.447	-0.6	0.023	-0.232	-1.787	-0.1	-0.926	0.066	-0.105	0.43	0.16	0.074	1.238	0.045	0.163	0.001	NA	-0.457	-0.398	-0.383	0.052	0.248	0.136	0.487	0.617	NA	-0.392	-1.128	-0.284	0.421	-0.232	0.241	NA	NA	NA	NA	NA	-1.424	-1.807	-1.28
10350	-0.084	-0.816	-0.777	-0.081	-1.19	0.144	-0.373	-0.335	-0.03	-1.42	-0.155	-0.932	-0.549	-0.361	-0.662	-0.432	NA	-0.288	-0.311	-1.015	-1.505	-1.289	-0.849	-1.447	-0.912	NA	-0.054	-0.203	-0.478	0.302	0.512	0.106	NA	NA	NA	NA	NA	0.783	-0.833	-1.416
10351	-1.437	-1.134	-1.009	-0.956	-2.072	-0.856	-1.164	-0.768	-0.685	-1.554	-1.279	-0.902	-0.709	-1.278	-1.341	-1.186	NA	-1.198	-1.369	-1.602	-1.778	-1.054	-1.139	-1.689	-0.12	NA	-0.637	-0.97	-0.566	-0.544	-0.547	-0.887	NA	NA	NA	NA	NA	-0.963	-1.768	-1.305
10352	-1.375	-1.096	-1.111	-1.606	-0.927	-0.84	-1.161	-1.158	-1.175	-1.639	-1.182	-1.149	-0.924	-1.276	-1.705	-1.112	NA	-1.743	-1.331	-1.229	-1.327	-0.895	-0.875	-1.428	-0.694	NA	-1.236	-1.033	-0.91	-0.551	-1.218	-0.838	NA	NA	NA	NA	NA	-0.825	-0.782	-1.854
10354	-0.116	-0.441	-0.492	-0.25	-0.362	0.021	-0.259	-0.075	-0.354	-0.672	-0.269	-0.019	-0.137	-0.434	-0.254	-0.346	NA	-0.362	-0.501	-0.541	-0.297	-0.06	0.098	0.08	-0.105	NA	-0.552	-0.657	-0.419	-0.084	-0.516	-0.226	NA	NA	NA	NA	NA	-0.392	-0.066	-0.355
10355	-0.261	-0.075	0.176	-0.171	-0.537	-0.226	-0.858	0.109	-0.844	-0.615	-0.528	-0.014	-0.73	-0.332	-0.061	-0.124	NA	-0.167	-0.524	-1.048	0	-0.026	0.006	-0.06	-0.282	NA	-0.257	-0.166	-0.225	-0.083	-0.211	-0.206	NA	NA	NA	NA	NA	-0.477	-0.281	-0.059
10356	0	-0.312	0.358	-0.301	-0.05	0.206	-0.375	0.053	0.063	0.431	0	0.337	0.44	-0.292	0.921	0.05	NA	0.245	-0.103	0.178	-0.17	0.442	0.257	0.998	-0.069	NA	-0.204	-0.143	0.01	0.214	-0.255	0.008	NA	NA	NA	NA	NA	-0.191	-0.199	-0.336
10357	-1.052	-1.222	-0.988	NA	-1.003	-0.93	-1.43	-1.328	-1.148	-1.465	-0.369	-1.549	-2.304	-1.387	-0.461	-1.388	NA	-1.534	-1.087	-1.471	-0.555	-0.948	-1.169	-0.623	-1.186	NA	-0.779	-0.846	-0.662	-0.715	-0.592	-1.228	NA	NA	NA	NA	NA	-0.337	-0.408	-0.984
10358	0.111	-0.183	-0.14	-0.226	-0.038	0.432	0.101	0.02	-0.045	-0.415	-0.033	0.456	-0.4	0.374	0.93	0.162	NA	0.454	-0.135	0.367	-0.241	0.478	0.269	1.114	0.058	NA	0.384	0.059	0.387	0.061	-0.117	0.027	NA	NA	NA	NA	NA	1.156	-0.215	0.275
10360	-0.085	-0.629	0.029	-0.545	-0.501	-0.152	-2.441	0.22	-0.02	-0.455	0.291	0.07	NA	0.473	0.721	0.103	NA	-0.222	-0.08	-0.287	0.082	0.063	0.311	0.534	0	NA	-0.338	-0.138	-0.326	0.679	0.346	0.346	NA	NA	NA	NA	NA	-1.855	-0.61	-0.445
10361	0.129	0.887	-1.175	0.679	-0.255	1.944	0.269	-0.835	0.551	-0.589	0.692	-0.127	0.949	-0.272	-0.644	0.64	NA	-0.282	0.958	0.273	-1.128	-1.073	0.084	0.553	-0.036	NA	0.551	0.86	0.314	0.32	0.224	0.669	NA	NA	NA	NA	NA	0.055	-1.208	0.968
10362	0.642	0.218	0.133	0.223	-0.11	0.342	-0.304	-0.199	-0.242	-0.3	0.274	-0.285	NA	0.133	0.089	0.078	NA	0.012	0.027	0.278	0.397	0.43	0.059	0.95	-0.265	NA	0.617	-0.132	0.346	0.494	0.989	-0.346	NA	NA	NA	NA	NA	0.397	-0.55	-0.181
10363	0.809	0.262	0.082	0.273	0.512	0.544	-0.343	0.359	0.271	-0.369	0.488	0.089	0.029	0.778	0.293	0.288	NA	0.58	-0.17	0.893	-0.652	0.642	-0.199	1.072	-0.251	NA	-0.334	0.093	0.778	0.161	0.341	-0.054	NA	NA	NA	NA	NA	-1.147	0.366	0.322
10364	-0.43	-0.341	-0.484	-0.586	-0.787	-0.722	-1.135	-0.414	-0.189	-1.319	-0.523	-0.955	NA	-0.647	-0.834	-0.752	NA	-0.944	-0.694	-0.927	-0.66	-0.619	-0.605	-0.103	-0.881	NA	-0.419	-0.494	-0.685	-0.081	0.482	-0.221	NA	NA	NA	NA	NA	-0.964	-0.744	-1.032
10365	-0.197	0.307	-0.708	-0.544	-0.187	-0.058	-0.533	-0.379	1.017	-0.96	0.532	0.211	0.168	-0.248	-0.909	-0.113	NA	-0.495	-0.426	-1.585	0.152	0.141	-0.852	-0.225	-0.133	NA	-0.549	-0.585	0.348	-0.101	0.767	0.076	NA	NA	NA	NA	NA	-0.672	0.322	-0.238
10366	0.103	-0.273	-0.494	-0.282	-0.235	-0.467	-0.986	-0.242	0.359	-0.458	-0.319	-0.124	NA	0.379	0.547	0.038	NA	-0.619	-0.19	-0.186	0.28	-0.143	0.134	0.744	0.214	NA	-0.2	-0.258	0.089	-0.132	0.453	-0.292	NA	NA	NA	NA	NA	-0.701	-0.567	-0.29
10368	-0.88	-2.195	1.626	2.168	-1.932	1.421	-0.334	-2.508	-0.61	1.761	1.323	1.688	-1.63	-0.517	2.884	-2.65	NA	0.765	1.701	0.039	0.637	-0.749	0.535	-1.069	-1.764	NA	2.218	2.611	1.619	1.538	-1.375	0.248	NA	NA	NA	NA	NA	-1.334	-0.958	0.152
10369	-0.299	0.971	-0.386	0.089	0.695	-0.611	0.127	-0.182	0.07	-0.138	0.048	0.461	-0.504	0.592	0.387	-0.351	NA	0.562	-0.132	-0.725	-0.794	0.352	0.182	0.843	0.4	NA	NA	-0.645	0.117	0.284	0.467	0.107	NA	NA	NA	NA	NA	-0.993	-0.709	0.196
10370	-0.038	-0.212	0.061	0.299	-0.79	-0.081	0.696	-0.12	-0.335	-0.536	0.021	-0.245	0.277	0.126	-0.236	0.173	NA	-0.005	-0.226	-0.443	-0.381	-0.405	-0.171	-1.57	-0.545	NA	-0.017	0.134	1.352	0.162	-0.612	0.176	NA	NA	NA	NA	NA	0.191	-0.178	-0.646
10371	0.214	0.577	-0.189	0.479	-0.516	-0.007	1.098	0.694	0.178	0.558	0.39	0	-0.186	-0.062	0.372	0.6	NA	0.816	0.136	-0.356	-0.131	-0.032	0	0.355	0.511	NA	NA	-0.778	0.677	-0.219	0.032	0.609	NA	NA	NA	NA	NA	-0.211	-0.263	0.393
10372	-0.8	-2.61	-1.34	-1.454	-0.88	-1.796	-1.324	-0.177	-0.159	-1.63	-1.435	-1.483	-1.602	-1.71	-0.688	-2.215	NA	-0.65	-2.254	-2.151	-0.921	-0.572	-0.849	-1.82	0.296	NA	-1.003	-1.758	-1.756	-1.515	-2.934	-1.097	NA	NA	NA	NA	NA	-1.151	-0.948	-0.546
10373	-0.041	0.456	0.29	-0.433	-0.21	-0.062	-0.463	0.26	0.436	0.636	0.401	0.807	-1.152	0.363	1.047	0.389	NA	0.466	0.21	-1.156	0.082	0.21	0.306	0.906	0.373	NA	-0.14	-0.316	0.174	0.087	1.043	-0.11	NA	NA	NA	NA	NA	-0.545	0	-0.14
10374	-0.427	0.043	0.335	-0.381	0.073	-0.035	0.064	-0.162	0.283	-0.293	-0.132	0.261	-0.014	-0.079	0.072	0.028	NA	0.087	-0.699	-0.803	-0.033	0.027	0.161	-0.231	-0.816	NA	-0.382	-0.322	-0.517	0.308	-0.696	0.191	NA	NA	NA	NA	NA	-0.696	-0.767	0.226
10375	-1.273	0.4	0.195	-0.193	-0.432	0.401	-0.234	-1.387	0.183	-0.129	0.508	0.276	0	0.564	0.888	1.086	NA	-0.287	0.507	-1.663	0.424	-0.345	-0.297	1.038	-0.363	NA	-0.249	-0.12	1.014	0	-0.308	0.049	NA	NA	NA	NA	NA	0.862	-0.596	0.278
10376	-0.621	-0.697	-0.602	-0.52	-1.257	-0.486	-0.542	-0.134	-0.285	-0.889	-0.507	-0.338	-0.585	-0.37	-0.391	-0.475	NA	-0.737	-0.781	0.372	-0.926	-0.627	-0.041	-0.648	-0.804	NA	-0.383	-0.828	-0.294	-0.127	-1.176	-0.16	NA	NA	NA	NA	NA	0.393	-1.085	-0.593
10377	-1.242	-0.169	-0.075	-0.404	-0.746	-0.011	-0.813	-0.659	0.613	-0.248	0.188	0.034	-0.798	0.089	0.459	0.171	NA	-0.404	-0.464	-0.877	-0.385	-0.489	-0.129	-0.031	-0.802	NA	-0.524	-0.518	-0.133	0.084	-0.234	0.072	NA	NA	NA	NA	NA	-1.057	-0.869	-0.573
10378	0.302	-0.957	-1.618	-0.492	-0.242	-0.534	-1.117	-0.849	-0.646	-0.702	-0.831	-0.868	-0.423	-0.405	-0.183	-0.689	NA	0.261	-0.667	-0.889	-0.387	-1.17	-0.077	-0.814	-0.891	NA	-1.428	-1.021	-0.847	-0.206	-0.556	0.393	NA	NA	NA	NA	NA	-1.198	-0.833	-0.503
10379	1.205	0.152	0.388	-0.242	-0.026	0.328	-0.677	-0.512	0.478	0.273	0.357	1.103	-0.117	0.96	0.363	0.215	NA	0.686	0.315	0.694	0.089	0.189	0.193	0.886	0.427	NA	-0.604	-0.39	0.4	0.023	1.075	0.428	NA	NA	NA	NA	NA	-1.023	-0.277	-0.109
10380	-0.193	-0.253	0.069	-0.113	0.074	0.178	-0.819	-0.021	0.592	0.247	0.409	0.263	0.753	1.03	0.91	0.604	NA	0.235	-0.093	0.292	0.432	0	0.969	0.357	-1.426	NA	0.014	-0.977	-0.35	0.151	-0.43	-0.107	NA	NA	NA	NA	NA	-1.09	-0.058	0.21
10382	-0.212	0.391	0.059	-0.879	-0.454	0.021	0.733	0.1	0.69	0.438	-0.389	0.29	0.481	0.622	-0.104	-0.129	NA	0.37	-0.49	1.064	-0.404	-0.163	0.124	-0.685	-0.084	NA	-0.097	-0.077	0.46	-0.131	-0.413	-0.258	NA	NA	NA	NA	NA	-1.022	-0.061	0.392
10383	0.034	0.312	-0.616	-0.375	-0.279	-0.294	-0.336	-0.68	0.206	-0.753	-0.527	-0.145	-0.542	-0.347	-0.122	-0.361	NA	-0.708	-0.878	-0.663	-0.585	-0.803	-0.657	-0.513	-0.628	NA	-0.611	-0.706	-0.336	-0.367	-0.719	-0.297	NA	NA	NA	NA	NA	0.178	-1.355	-0.233
10384	0.105	-0.569	-0.36	-0.058	0	-0.179	-0.638	-0.322	-0.175	0.146	-0.108	0.374	0.245	0.422	0.72	0.172	NA	-0.372	-0.421	-0.252	-0.08	-0.079	-0.174	0.592	0.213	NA	-0.611	-1.336	-0.837	0.07	-0.16	-0.371	NA	NA	NA	NA	NA	-1.469	-1.133	-0.485
10385	0.954	-0.092	-0.274	-0.35	0.415	-0.278	-0.286	-0.907	0.6	0.095	0	0.716	NA	0.556	0.7	-0.205	NA	0.775	0.045	-0.886	1.037	0.585	-0.14	0.961	0.572	NA	-0.097	-0.562	-0.585	-0.135	0.275	-0.813	NA	NA	NA	NA	NA	-1.603	-0.962	0.034
10386	-0.012	0.232	-0.064	-0.219	-0.365	-0.292	-0.153	-0.342	0	-0.457	-0.224	0.298	0.316	-0.61	0.549	0.048	NA	-0.085	-0.535	1.182	-0.126	-0.222	-0.268	1.14	-0.604	NA	-0.245	-0.427	-0.697	0.099	0.5	-0.203	NA	NA	NA	NA	NA	-0.796	-0.682	-0.095
10387	0.794	-0.348	-0.367	-0.351	0.185	-0.681	-0.746	-0.483	-0.032	0.102	-0.788	0.322	NA	-0.585	0.032	0.751	NA	0.192	1.296	0.399	-0.273	-0.163	-0.392	0.473	-0.346	NA	-0.862	-1.688	-0.503	-0.112	0.105	-0.601	NA	NA	NA	NA	NA	-1.381	-1.858	-0.766
10388	1.387	-0.826	2.155	0.532	-0.755	0.371	-0.485	-0.409	0.419	0.414	0.759	0.55	0.948	1.826	0.202	0.343	NA	2.051	1.263	-0.494	0.731	1.153	0.912	0.42	0.334	NA	0.172	-0.341	-0.256	0.032	0.458	-0.297	NA	NA	NA	NA	NA	0.581	-0.485	-0.253
10389	0.303	0.13	0.337	0.785	-0.374	-0.135	0.338	0.023	-0.578	-0.119	-0.046	0.445	-0.942	0.055	0.406	0.609	NA	0.398	0.726	0.069	-0.302	0	-0.129	-0.4	-0.351	NA	0.429	0.492	-0.006	-0.054	0.068	0.128	NA	NA	NA	NA	NA	-0.886	-0.715	-0.188
10390	-0.809	-1.282	-0.58	-0.687	-1.459	-0.318	-0.21	-0.559	-1.176	-1.083	-0.44	-0.422	-0.522	-0.334	-0.762	-0.485	NA	-0.59	-1.272	0.181	-1.322	-1.28	-0.895	-1.35	-0.863	NA	-0.692	-0.182	-1.126	-0.714	-0.074	-0.489	NA	NA	NA	NA	NA	0.229	-1.318	-1.01
10391	-2.07	-1.732	-1.061	-0.489	-0.741	-0.703	-2.153	-1.412	-0.45	-1.566	-0.611	-1.322	-5.524	-0.825	-0.719	-1.379	NA	0.259	-0.973	-2.31	-0.526	-0.7	-1.318	-0.957	0.208	NA	-0.682	-2.322	-1.782	-0.665	-1.314	-0.43	NA	NA	NA	NA	NA	-0.916	-3.233	-0.496
10392	-0.384	-0.28	-0.194	-0.603	0.12	0.224	-0.652	0.173	0.431	-0.431	0.102	0.318	0.744	-0.37	-0.515	0.103	NA	0.75	0.053	-0.062	-0.312	-0.656	0.106	-0.202	0.494	NA	0.096	-0.619	-0.191	0.447	0.112	0.01	NA	NA	NA	NA	NA	-1.144	-0.45	-0.469
10394	0.807	-0.857	-0.711	-0.052	-0.222	-0.544	-0.365	0.207	-0.803	-0.621	-0.543	-1.207	0.367	0.446	0	0.093	NA	-0.888	-0.487	-0.347	-0.795	-0.67	-0.754	-0.34	-0.384	NA	-0.074	-1.041	-0.864	-0.597	-0.427	0.061	NA	NA	NA	NA	NA	-1.718	-1.981	0.138
10398	0.424	0.136	-0.608	-0.718	0.885	-0.271	-0.275	-0.631	-0.343	-0.366	0.316	0.369	-0.707	0.136	0.333	0.191	NA	0.102	-0.485	0	0.087	0.222	0.342	0.549	0.572	NA	-0.249	0.082	-0.156	-0.072	0.111	-0.5	NA	NA	NA	NA	NA	-0.911	-1.459	-1.652
10399	0.578	-0.027	0.251	-0.061	-0.461	-0.367	-1.125	-0.757	0	1.492	-0.104	-0.021	NA	0.09	0.271	0.348	NA	0.218	-0.274	-4.129	-0.07	0.214	0.031	0.298	-0.032	NA	-0.328	0.093	-0.275	0.163	0.405	-0.11	NA	NA	NA	NA	NA	-0.373	-0.244	-0.263
10400	0.272	-0.714	-0.614	-0.635	0.129	-0.242	-0.773	-0.193	-0.476	-0.115	0.017	-0.636	-0.263	-0.485	0.7	0.01	NA	-0.263	-0.604	0.023	-0.061	-0.634	-0.204	0.661	0.883	NA	-1.512	-0.637	-0.41	-0.048	0.042	-0.153	NA	NA	NA	NA	NA	-1.281	-1.176	-1.518
10401	0.911	0.453	0.435	0.05	0.543	-0.39	-1.428	0.135	0.406	0.71	-0.101	0.296	NA	-0.18	0.592	0.214	NA	0.578	0.106	0.531	0.059	0.539	-0.331	1.082	0.656	NA	-0.249	0.072	-0.021	0.664	0.31	0.658	NA	NA	NA	NA	NA	-0.98	0.061	-0.285
10402	0.491	0.628	0.334	0.157	0.112	1.485	-0.813	-0.114	-0.691	1.138	-0.707	-0.164	0.585	0.331	1.62	0.086	NA	0.061	0.62	-0.061	0.353	-0.042	-0.084	0.213	0.694	NA	0.024	0.022	-0.564	0.327	-0.658	0.21	NA	NA	NA	NA	NA	-1.34	0.401	1.311
10403	0.208	0.292	-0.041	-0.009	0.208	0.466	-1.231	-0.164	-0.094	0.2	-0.172	0.122	NA	-0.286	0.637	0.178	NA	0.101	0.063	0.361	-0.229	0.054	-0.367	-0.643	0.286	NA	-0.097	-0.456	-0.257	-0.195	-0.009	0.09	NA	NA	NA	NA	NA	-0.745	0.29	0.457
10404	0.131	-1.032	0.338	-0.281	-1.463	-0.461	-1.141	0.182	-1.462	-0.457	-1.008	-0.032	0.171	0.241	1.316	-0.244	NA	0.26	-0.678	-0.79	-0.161	0.18	-0.449	-0.355	-0.012	NA	-0.265	-0.626	-1.168	-1.173	-0.721	-1.615	NA	NA	NA	NA	NA	-2.141	0.374	0.872
10405	-0.434	-0.503	0.335	NA	-0.329	0.083	-0.122	-1.386	-0.425	-0.753	-0.375	-1.509	-0.213	0.078	0.162	-0.747	NA	-0.187	-1.442	0.532	0	0.063	0.053	0.939	-0.693	NA	-0.338	0	-0.319	-0.726	-1	-0.376	NA	NA	NA	NA	NA	-0.714	0.154	-0.597
10406	-0.01	0.017	-0.632	-0.361	-0.948	-0.715	0.503	0.063	0.099	-0.231	-1.084	-0.214	-0.297	-0.563	-0.368	-0.602	NA	0.029	-0.986	-0.655	-0.29	-0.307	-0.709	0.108	-0.517	NA	0.335	-0.256	-0.664	0.157	0.37	1.875	NA	NA	NA	NA	NA	-1.53	-1.326	0.671
10407	0.696	-0.863	-0.76	NA	-0.258	-4.361	-0.264	0.409	-0.805	-0.951	-1.032	-0.534	0.071	-0.186	0.481	0.349	NA	-0.381	-1.392	0.903	-0.382	-0.277	-0.307	-1.238	-1.447	NA	-1.067	-1.572	-0.832	-0.324	0.535	-0.597	NA	NA	NA	NA	NA	-1.335	-2.087	-1.675
10408	0.585	-1.614	-0.825	-1.006	-0.927	-1.095	-0.613	-0.423	-0.542	-0.712	-0.484	-0.415	0.17	-0.869	0.149	-0.487	NA	-1.065	-0.613	-0.13	0.174	-0.585	-0.662	-0.139	-0.355	NA	-1.014	-1.585	-0.577	-0.341	-0.034	-0.621	NA	NA	NA	NA	NA	-1.658	-1.299	-1.762
10410	0.536	0.15	-0.156	-1.63	0.612	-0.311	-0.356	-0.057	0.382	-0.846	0.126	-0.885	-0.188	-0.796	0.202	-1.58	NA	-0.987	-1.264	2.459	0.918	0.874	-0.359	0.487	0.415	NA	-1.289	-0.771	0.126	-0.212	0.328	-0.203	NA	NA	NA	NA	NA	-1.603	-0.16	-0.837
10411	3.289	-0.193	1.942	0.813	-1.081	-3.915	-2.496	3.429	-0.104	1.883	-0.686	-0.444	NA	0.524	0.588	-0.835	NA	-0.915	-1.455	-0.753	0.029	-0.269	-0.25	0.034	-0.475	NA	0.95	-0.881	-0.568	0.424	-1.475	-0.258	NA	NA	NA	NA	NA	-1.759	-1.239	-1.363
10412	1.499	0.031	0.079	-0.719	0.237	-0.734	-1.759	0.009	-0.326	1.219	0.126	-0.126	0.704	-0.69	0.598	0.248	NA	-0.072	-0.588	0.28	-0.254	-0.553	-0.877	0.917	-0.658	NA	-1.434	-1.087	-0.222	0.811	-0.819	-0.615	NA	NA	NA	NA	NA	-2.323	-1.06	-0.772
10413	0.115	-0.068	-0.154	-0.274	-0.117	-2.585	-0.515	-0.252	0.127	-0.885	0.136	-0.023	-1.75	0.176	-0.183	0.069	NA	0.093	-0.286	0.176	0.284	0.508	0.418	1.172	0.663	NA	0.438	0.202	0.012	0.206	0.33	0.123	NA	NA	NA	NA	NA	-0.56	0.047	0.617
10414	0.37	-0.503	-0.493	-0.454	-0.644	0.182	-1.371	0.536	-0.138	-1.121	-0.479	-1.037	-0.648	-1.785	-0.868	-0.32	NA	-0.193	-0.937	-1.128	-0.827	-1	-1.092	-1.083	-0.903	NA	-0.729	-0.37	-1.264	-0.035	-1.145	-1.094	NA	NA	NA	NA	NA	0.644	-1.016	-1.309
10415	0.262	0.302	0.938	0.199	-0.22	0.333	0.011	1.306	-1.331	0.316	-0.674	0.873	-0.546	-0.429	0.731	0.785	NA	1.016	-0.193	0.354	0.222	-0.351	-0.328	-1.2	-0.222	NA	0.028	0.365	-0.031	-0.12	0.187	-0.487	NA	NA	NA	NA	NA	0.288	1.362	-0.707
10416	-0.343	-0.603	-0.149	-0.586	-0.209	-0.402	-2.439	-0.138	-0.59	-0.433	-0.394	0.064	0.271	-1.861	0.363	-0.224	NA	-0.08	-0.384	-0.567	-0.57	0.366	-0.339	0.637	-0.606	NA	-0.331	-1.491	-0.424	-0.543	-0.399	-0.162	NA	NA	NA	NA	NA	-0.613	-0.848	-0.428
10417	-0.57	-0.341	0.122	-0.141	0.528	0.145	-0.703	0.188	0.113	0.077	0.097	0.384	-0.504	0.556	0.202	0.332	NA	0.047	0.112	-0.64	0.389	0.111	0.207	0.019	0.515	NA	-0.701	-0.594	-0.243	-0.217	-1.898	-0.384	NA	NA	NA	NA	NA	-0.2	-0.684	0.334
10418	1.551	0.175	0.27	1.567	0.474	0.756	-0.303	1.886	0.841	0.026	0.197	0.949	1.142	0.054	0.496	0.546	NA	2.036	1.258	0.84	0.982	0.441	0.36	3.016	-1.769	NA	0.903	1.065	-0.136	1.137	-0.181	-0.299	NA	NA	NA	NA	NA	-0.44	-0.741	0.172
10419	2.097	-0.42	-0.176	0.971	-0.479	-0.681	0.692	1.515	1.665	0.765	-0.977	0.672	-0.444	-0.55	-0.239	-0.456	NA	2.331	0.419	0.281	-0.323	0.128	1.129	-0.258	-0.756	NA	-0.242	-0.658	-0.565	0.095	-0.169	0.72	NA	NA	NA	NA	NA	0.957	-0.8	-0.454
10420	0.654	0.679	0.531	0.589	-0.713	0.454	0.111	0.317	0.242	0.424	0.096	0.188	0.496	0.144	0.408	0.441	NA	-0.292	0.016	0.867	-0.03	-0.431	-0.123	0.487	-0.727	NA	0.023	-0.877	-0.066	0.701	0.492	0.116	NA	NA	NA	NA	NA	0.495	-0.776	-0.338
10421	-0.29	-0.084	0.082	-0.526	-0.595	-0.135	-0.706	0.054	-0.456	-0.022	-0.328	0.238	-0.344	0.431	0.369	0.612	NA	0.087	-0.157	-0.709	-0.199	-0.174	-0.391	-0.638	-0.252	NA	-0.631	-1.06	-0.403	-0.5	-0.717	-0.124	NA	NA	NA	NA	NA	-0.13	-0.612	-0.603
10422	-0.585	0.024	-0.198	-0.238	0.109	0.037	-0.381	0.093	0.519	0.47	0.094	0.824	0.21	0.553	1.17	0.207	NA	0.081	-0.099	0.176	-0.175	0.464	0.301	0.726	0.146	NA	-0.633	-0.427	-0.263	0.271	-0.343	0.076	NA	NA	NA	NA	NA	-1.9	-0.415	0.968
10423	-0.591	-0.425	-0.342	-0.298	-1.422	-0.242	-0.804	-0.579	-0.028	-1.334	0.723	0.589	0.139	-0.329	-1.448	0.636	NA	0.016	0.921	-0.004	-0.58	-0.163	-0.693	0.058	0.399	NA	-1.354	0.491	0.988	0.796	-0.647	-0.676	NA	NA	NA	NA	NA	-0.285	-0.774	2.255
10424	-1.07	-0.632	-0.597	0.291	-2.717	-0.83	0.102	0.703	-1.528	-0.847	-0.476	-0.71	-0.16	0.355	-1.617	-0.244	NA	-1.105	-1.281	-0.415	-1.524	-0.985	-1.22	-1.595	-2.006	NA	0.229	-0.13	-0.84	-0.648	0.264	-0.291	NA	NA	NA	NA	NA	-1.942	-0.469	-1.695
10425	-0.265	-0.108	0.058	-0.179	-1.648	-0.254	-0.608	0.174	-0.571	-0.189	-0.479	0.351	-0.299	0.29	0.648	0.631	NA	-0.127	-0.192	-0.768	-0.288	-0.07	-0.191	-0.502	-0.636	NA	-0.84	-1.032	-0.489	-0.082	0.392	-0.384	NA	NA	NA	NA	NA	-1.03	-0.871	-0.632
